strength,drive_period_h,period_ratio,observed_period_h,rotation_number,phase_drift_per_cycle,oscillating,entrained
0.08,20.500365973513112,0.856,20.5,0.9855154835924695,2.184146186375143e-06,True,True
0.08,20.787754281553017,0.868,20.7861605891585,1.0000090990150758,4.989401750416711e-07,True,True
0.08,21.075142589592918,0.8799999999999999,21.074662933945547,1.000004687289811,1.7891480943919435e-06,True,True
0.08,21.362530897632823,0.892,21.36432810768474,1.0000083809291447,4.11961520087965e-07,True,True
0.08,21.649919205672724,0.9039999999999999,21.645752192885084,1.0000116024632448,7.103856700691306e-06,True,True
0.08,21.93730751371263,0.9159999999999999,21.93437500014943,0.9999995790192656,1.6514685809788207e-07,True,True
0.08,22.224695821752533,0.9279999999999999,22.22326530605551,1.000002312586047,4.224456818982854e-07,True,True
0.08,22.512084129792434,0.94,22.511887425780287,1.0000096735802106,3.3191908486429117e-07,True,True
0.08,22.79947243783234,0.952,22.800000000000182,0.9677411182639742,2.0278543946865232e-06,True,False
0.08,23.086860745872244,0.964,23.081999999880736,1.000001016851538,4.362436788475996e-07,True,True
0.08,23.374249053912145,0.9759999999999999,23.373800000101255,1.000004128277555,3.2906072358442314e-08,True,True
0.08,23.66163736195205,0.988,23.663960396051607,0.9833299833505711,9.374090045781501e-07,True,True
0.08,23.949025669991954,1.0,23.952152475118055,0.966104741413047,3.1113245460316625e-07,True,False
0.08,24.236413978031855,1.012,24.23366666644779,1.0000143391223995,1.2994106971783766e-06,True,True
0.08,24.52380228607176,1.024,24.526666666902656,0.9999965387693778,5.478037408610667e-07,True,True
0.08,24.811190594111665,1.036,24.81100133270047,0.9999994600724484,2.4859233460658197e-07,True,True
0.08,25.098578902151566,1.0479999999999998,25.09973983734858,1.0000106592454137,2.0448535098224037e-06,True,True
0.08,25.38596721019147,1.06,25.38704761907411,1.0000018290047101,4.2424183571369885e-08,True,True
0.08,25.673355518231375,1.072,25.671774387210462,1.000002468459546,3.3207078560886123e-06,True,True
0.08,25.960743826271276,1.0839999999999999,25.960000000000036,1.00001451160929,3.83393905336197e-06,True,True
0.08,26.24813213431118,1.0959999999999999,26.249137241635708,1.0000039589874639,3.7178187991832e-08,True,True
0.08,26.535520442351086,1.108,24.280131495743944,1.1275725514436101,0.12531157162500367,True,False
0.08,26.822908750390987,1.1199999999999999,24.568023292272983,1.0578552302501845,0.11337970391709551,True,False
0.08,27.11029705843089,1.132,24.854006124027364,1.0785933654236544,0.1005742878344169,True,False
0.08,27.397685366470792,1.144,24.26253333330169,1.1498235369289138,0.14646144511002646,True,False
0.08,27.685073674510697,1.156,23.71220705539008,1.1821043485616771,0.19983651226259805,True,False
0.08,27.9724619825506,1.168,24.629086868576906,1.1452127608177234,0.16387064440386345,True,False
0.08,28.259850290590503,1.18,24.595869565233443,1.182850192758789,0.1863410198364555,True,False
0.09,19.638201049393402,0.82,19.638838965892774,1.0000158958280443,2.021101972650334e-08,True,True
0.09,19.925589357433307,0.8320000000000001,19.928272626548278,1.000014105840725,9.99656165101311e-07,True,True
0.09,20.212977665473208,0.844,20.21289836511005,0.99999828046986,5.212080409194814e-07,True,True
0.09,20.500365973513112,0.856,20.5,1.0000083506692188,2.20860529938524e-06,True,True
