variable,dataset,n_animals,n_days_treat,true_dphi,power,sd_base,sd_treat
activity,helissen2022,6,5,3.0,0.8725,1.1144337254140306,4.021692322498499
activity,helissen2022,6,7,1.0,0.2165,1.1144337254140306,4.021692322498499
activity,helissen2022,6,7,2.0,0.657,1.1144337254140306,4.021692322498499
activity,helissen2022,6,7,3.0,0.939,1.1144337254140306,4.021692322498499
activity,helissen2022,6,10,1.0,0.272,1.1144337254140306,4.021692322498499
activity,helissen2022,6,10,2.0,0.785,1.1144337254140306,4.021692322498499
activity,helissen2022,6,10,3.0,0.9825,1.1144337254140306,4.021692322498499
activity,helissen2022,6,14,1.0,0.355,1.1144337254140306,4.021692322498499
activity,helissen2022,6,14,2.0,0.8695,1.1144337254140306,4.021692322498499
activity,helissen2022,6,14,3.0,0.9965,1.1144337254140306,4.021692322498499
activity,helissen2022,6,21,1.0,0.4585,1.1144337254140306,4.021692322498499
activity,helissen2022,6,21,2.0,0.9495,1.1144337254140306,4.021692322498499
activity,helissen2022,6,21,3.0,0.9995,1.1144337254140306,4.021692322498499
activity,helissen2022,8,5,1.0,0.255,1.1144337254140306,4.021692322498499
activity,helissen2022,8,5,2.0,0.707,1.1144337254140306,4.021692322498499
activity,helissen2022,8,5,3.0,0.9695,1.1144337254140306,4.021692322498499
activity,helissen2022,8,7,1.0,0.3165,1.1144337254140306,4.021692322498499
activity,helissen2022,8,7,2.0,0.819,1.1144337254140306,4.021692322498499
activity,helissen2022,8,7,3.0,0.9945,1.1144337254140306,4.021692322498499
activity,helissen2022,8,10,1.0,0.411,1.1144337254140306,4.021692322498499
activity,helissen2022,8,10,2.0,0.93,1.1144337254140306,4.021692322498499
activity,helissen2022,8,10,3.0,0.998,1.1144337254140306,4.021692322498499
activity,helissen2022,8,14,1.0,0.4775,1.1144337254140306,4.021692322498499
activity,helissen2022,8,14,2.0,0.9765,1.1144337254140306,4.021692322498499
activity,helissen2022,8,14,3.0,1.0,1.1144337254140306,4.021692322498499
activity,helissen2022,8,21,1.0,0.6065,1.1144337254140306,4.021692322498499
activity,helissen2022,8,21,2.0,0.994,1.1144337254140306,4.021692322498499
activity,helissen2022,8,21,3.0,1.0,1.1144337254140306,4.021692322498499
activity,helissen2022,10,5,1.0,0.319,1.1144337254140306,4.021692322498499
activity,helissen2022,10,5,2.0,0.832,1.1144337254140306,4.021692322498499
activity,helissen2022,10,5,3.0,0.9925,1.1144337254140306,4.021692322498499
activity,helissen2022,10,7,1.0,0.3855,1.1144337254140306,4.021692322498499
activity,helissen2022,10,7,2.0,0.919,1.1144337254140306,4.021692322498499
activity,helissen2022,10,7,3.0,0.998,1.1144337254140306,4.021692322498499
activity,helissen2022,10,10,1.0,0.534,1.1144337254140306,4.021692322498499
activity,helissen2022,10,10,2.0,0.9715,1.1144337254140306,4.021692322498499
activity,helissen2022,10,10,3.0,1.0,1.1144337254140306,4.021692322498499
activity,helissen2022,10,14,1.0,0.612,1.1144337254140306,4.021692322498499
activity,helissen2022,10,14,2.0,0.995,1.1144337254140306,4.021692322498499
activity,helissen2022,10,14,3.0,1.0,1.1144337254140306,4.021692322498499
activity,helissen2022,10,21,1.0,0.73,1.1144337254140306,4.021692322498499
activity,helissen2022,10,21,2.0,0.9995,1.1144337254140306,4.021692322498499
activity,helissen2022,10,21,3.0,1.0,1.1144337254140306,4.021692322498499
activity,helissen2022,12,5,1.0,0.382,1.1144337254140306,4.021692322498499
activity,helissen2022,12,5,2.0,0.909,1.1144337254140306,4.021692322498499
activity,helissen2022,12,5,3.0,0.997,1.1144337254140306,4.021692322498499
activity,helissen2022,12,7,1.0,0.471,1.1144337254140306,4.021692322498499
activity,helissen2022,12,7,2.0,0.972,1.1144337254140306,4.021692322498499
activity,helissen2022,12,7,3.0,1.0,1.1144337254140306,4.021692322498499
activity,helissen2022,12,10,1.0,0.6105,1.1144337254140306,4.021692322498499
